algorithm,input_size,run_index,time
strassens,64,6,0.23
strassens,64,7,0.21
strassens,64,8,0.20
strassens,64,9,0.22
strassens,64,10,0.21
strassens,128,1,0.33
strassens,128,2,0.31
strassens,128,3,0.31
strassens,128,4,0.31
strassens,128,5,0.29
strassens,128,6,0.34
strassens,128,7,0.30
strassens,128,8,0.29
strassens,128,9,0.28
strassens,128,10,0.33
strassens,256,1,1.08
strassens,256,2,1.04
strassens,256,3,1.05
strassens,256,4,1.01
strassens,256,5,1.01
strassens,256,6,1.03
strassens,256,7,1.07
strassens,256,8,1.03
strassens,256,9,1.03
strassens,256,10,1.05
strassens,512,1,6.13
strassens,512,2,6.07
strassens,512,3,6.18
strassens,512,4,6.17
strassens,512,5,6.04
strassens,512,6,6.28
strassens,512,7,6.17
strassens,512,8,6.27
strassens,512,9,6.20
strassens,512,10,6.08
